,description,product_name,Name_and_Description,labels_num,label_name
10,"['calibro', 'analog', 'digit', 'watch', 'men', 'boy', 'price', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashion', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'known', 'usag', 'qualiti', 'materi', 'make', 'appeal', 'watch', 'understand', 'need', 'abl', 'present', 'wide', 'rang', 'watch', 'custom', 'varieti', 'design', 'style', 'youth', 'approach', 'execut', 'brand', 'get', 'one', 'see', 'lead', 'brand', 'style', 'finish', 'everyth', 'matter', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashion', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'known', 'usag', 'qualiti', 'materi', 'make', 'appeal', 'watch', 'understand', 'need', 'abl', 'present', 'wide', 'rang', 'watch', 'custom', 'varieti', 'design', 'style', 'youth', 'approach', 'execut', 'brand', 'get', 'one', 'see', 'lead', 'brand', 'style', 'finish', 'everyth', 'matter']","['calibro', 'analog', 'digit', 'watch', 'men', 'boy']","['calibro', 'analog', 'digit', 'watch', 'men', 'boy', 'price', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashion', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'known', 'usag', 'qualiti', 'materi', 'make', 'appeal', 'watch', 'understand', 'need', 'abl', 'present', 'wide', 'rang', 'watch', 'custom', 'varieti', 'design', 'style', 'youth', 'approach', 'execut', 'brand', 'get', 'one', 'see', 'lead', 'brand', 'style', 'finish', 'everyth', 'matter', 'calibro', 'present', 'mtg', 'black', 'dial', 'round', 'watch', 'fashion', 'watch', 'mtg', 'add', 'style', 'statement', 'brand', 'known', 'usag', 'qualiti', 'materi', 'make', 'appeal', 'watch', 'understand', 'need', 'abl', 'present', 'wide', 'rang', 'watch', 'custom', 'varieti', 'design', 'style', 'youth', 'approach', 'execut', 'brand', 'get', 'one', 'see', 'lead', 'brand', 'style', 'finish', 'everyth', 'matter', 'calibro', 'analog', 'digit', 'watch', 'men', 'boy']",6.0,Watches
11,"['cartier', 'analog', 'watch', 'boy', 'men', 'cartier', 'analog', 'watch', 'boy', 'men', 'india', 'great', 'discount']","['cartier', 'analog', 'watch', 'boy', 'men']","['cartier', 'analog', 'watch', 'boy', 'men', 'cartier', 'analog', 'watch', 'boy', 'men', 'india', 'great', 'discount', 'cartier', 'analog', 'watch', 'boy', 'men']",6.0,Watches
12,"['loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men', 'loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men', 'lcs', 'india', 'great', 'discount']","['loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men']","['loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men', 'loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men', 'lcs', 'india', 'great', 'discount', 'loi', 'caron', 'lcs', 'analog', 'watch', 'boy', 'men']",6.0,Watches
13,"['analog', 'watch', 'boy', 'men', 'analog', 'watch', 'boy', 'men', 'india', 'great', 'discount']","['analog', 'watch', 'boy', 'men']","['analog', 'watch', 'boy', 'men', 'analog', 'watch', 'boy', 'men', 'india', 'great', 'discount', 'analog', 'watch', 'boy', 'men']",6.0,Watches
14,"['srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl', 'srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl', 'megnet_led_sport_blackr', 'india', 'led', 'watch', 'sport', 'led', 'megnet', 'watch', 'fresh', 'arriv', 'latest', 'fanci', 'srushti', 'girlswatch', 'men', 'woman', 'boy', 'wrist', 'watch', 'great', 'discount']","['srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl']","['srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl', 'srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl', 'megnet_led_sport_blackr', 'india', 'led', 'watch', 'sport', 'led', 'megnet', 'watch', 'fresh', 'arriv', 'latest', 'fanci', 'srushti', 'girlswatch', 'men', 'woman', 'boy', 'wrist', 'watch', 'great', 'discount', 'srushti', 'art', 'jewelri', 'megnet_led_sport_blackr', 'digit', 'watch', 'men', 'woman', 'boy', 'girl']",6.0,Watches
15,"['escort', '_blk', 'analog', 'watch', 'men', 'boy', 'price', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'hous', 'escort', 'case', 'add', 'appeal', 'timepiec', 'worn', 'raini', 'thank', 'water', 'resist', 'upto', 'atm', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'hous', 'escort', 'case', 'add', 'appeal', 'timepiec', 'worn', 'raini', 'thank', 'water', 'resist', 'upto', 'atm']","['escort', '_blk', 'analog', 'watch', 'men', 'boy']","['escort', '_blk', 'analog', 'watch', 'men', 'boy', 'price', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'hous', 'escort', 'case', 'add', 'appeal', 'timepiec', 'worn', 'raini', 'thank', 'water', 'resist', 'upto', 'atm', 'flaunt', 'mantra', 'hit', 'street', 'style', 'wear', 'black', 'colour', 'analog', 'watch', 'men', 'hous', 'escort', 'case', 'add', 'appeal', 'timepiec', 'worn', 'raini', 'thank', 'water', 'resist', 'upto', 'atm', 'escort', '_blk', 'analog', 'watch', 'men', 'boy']",6.0,Watches
16,"['jack', 'klein', 'blackl', 'digit', 'watch', 'boy', 'jack', 'klein', 'blackl', 'digit', 'watch', 'boy', 'blackl', 'india', 'great', 'discount']","['jack', 'klein', 'blackl', 'digit', 'watch', 'boy']","['jack', 'klein', 'blackl', 'digit', 'watch', 'boy', 'jack', 'klein', 'blackl', 'digit', 'watch', 'boy', 'blackl', 'india', 'great', 'discount', 'jack', 'klein', 'blackl', 'digit', 'watch', 'boy']",6.0,Watches
17,"['silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman', 'silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman', 'india', 'great', 'discount']","['north', 'moon', 'silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman']","['silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman', 'silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman', 'india', 'great', 'discount', 'north', 'moon', 'silicon', 'ion', 'digit', 'watch', 'boy', 'girl', 'woman']",6.0,Watches
18,"['franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men', 'franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men', 'fbc', 'india', 'great', 'discount']","['franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men']","['franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men', 'franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men', 'fbc', 'india', 'great', 'discount', 'franck', 'bella', 'fbc', 'analog', 'watch', 'boy', 'men']",6.0,Watches
19,"['rida', 'appl', 'shape', 'digit', 'watch', 'boy', 'rida', 'appl', 'shape', 'digit', 'watch', 'boy', 'india', 'great', 'discount']","['rida', 'apl_led_black', 'appl', 'shape', 'digit', 'watch', 'boy']","['rida', 'appl', 'shape', 'digit', 'watch', 'boy', 'rida', 'appl', 'shape', 'digit', 'watch', 'boy', 'india', 'great', 'discount', 'rida', 'apl_led_black', 'appl', 'shape', 'digit', 'watch', 'boy']",6.0,Watches
20,"['skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy', 'skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy', 'dark', 'orang', 'india', 'digit', 'chronograph', 'alarm', 'watch', 'light', 'function', 'date', 'month', 'display', 'great', 'discount']","['skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy']","['skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy', 'skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy', 'dark', 'orang', 'india', 'digit', 'chronograph', 'alarm', 'watch', 'light', 'function', 'date', 'month', 'display', 'great', 'discount', 'skmei', 'dark', 'orang', 'sport', 'analog', 'digit', 'watch', 'men', 'boy']",6.0,Watches
21,"['ethnic', 'analog', 'watch', 'boy', 'ethnic', 'analog', 'watch', 'boy', 'ethnic', 'india', 'great', 'discount']","['ethnic', 'analog', 'watch', 'boy']","['ethnic', 'analog', 'watch', 'boy', 'ethnic', 'analog', 'watch', 'boy', 'ethnic', 'india', 'great', 'discount', 'ethnic', 'analog', 'watch', 'boy']",6.0,Watches
22,"['franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men', 'franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men', 'fba', 'india', 'great', 'discount']","['franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men']","['franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men', 'franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men', 'fba', 'india', 'great', 'discount', 'franck', 'bella', 'fba', 'analog', 'watch', 'boy', 'men']",6.0,Watches
23,"['skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy', 'skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy', 'red', 'india', 'digit', 'chronograph', 'alarm', 'watch', 'light', 'function', 'date', 'month', 'display', 'great', 'discount']","['skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy']","['skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy', 'skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy', 'red', 'india', 'digit', 'chronograph', 'alarm', 'watch', 'light', 'function', 'date', 'month', 'display', 'great', 'discount', 'skmei', 'red', 'sport', 'digit', 'watch', 'men', 'boy']",6.0,Watches
24,"['analog', 'watch', 'men', 'boy', 'analog', 'watch', 'men', 'boy', 'india', 'stainless', 'steel', 'hybrid', 'case', 'construct', 'sportier', 'rug', 'look', 'increa', 'shock', 'resist', 'high', 'preci', 'quartz', 'analogu', 'movement', 'great', 'discount']","['analog', 'watch', 'men', 'boy']","['analog', 'watch', 'men', 'boy', 'analog', 'watch', 'men', 'boy', 'india', 'stainless', 'steel', 'hybrid', 'case', 'construct', 'sportier', 'rug', 'look', 'increa', 'shock', 'resist', 'high', 'preci', 'quartz', 'analogu', 'movement', 'great', 'discount', 'analog', 'watch', 'men', 'boy']",6.0,Watches
