,description,product_name,Name_and_Description,labels_num,label_name,segment k_means PCA
10,calibro  analog digit watch men boy price  calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need abl present wide rang watch custom varieti design style youth approach execut brand get one see lead brand style finish everyth el matter calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need abl present wide rang watch custom varieti design style youth approach execut brand get one see lead brand style finish everyth el matter,calibro  analog digit watch men boy,calibro  analog digit watch men boy price  calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need abl present wide rang watch custom varieti design style youth approach execut brand get one see lead brand style finish everyth el matter calibro present mtg black dial round watch fashion watch mtg add style statement brand known usag qualiti materi make appeal watch understand need abl present wide rang watch custom varieti design style youth approach execut brand get one see lead brand style finish everyth el mattercalibro  analog digit watch men boy,6.0,Watches,4
11,cartier w analog watch boy men cartier w analog watch boy men w  india great discount,cartier w analog watch boy men,cartier w analog watch boy men cartier w analog watch boy men w  india great discountcartier w analog watch boy men,6.0,Watches,4
12,loi caron lcs  analog watch boy men loi caron lcs  analog watch boy men lcs   india great discount,loi caron lcs  analog watch boy men,loi caron lcs  analog watch boy men loi caron lcs  analog watch boy men lcs   india great discountloi caron lcs  analog watch boy men,6.0,Watches,4
13,sl analog watch boy men sl analog watch boy men sl  india great discount,sl analog watch boy men,sl analog watch boy men sl analog watch boy men sl  india great discountsl analog watch boy men,6.0,Watches,4
14,srushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl srushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl megnet_led_sport_blackred  india led watch sport led megnet watch fresh arriv latest fanci srushti girlswatch men woman boy wrist watch great discount,srushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl,srushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl srushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl megnet_led_sport_blackred  india led watch sport led megnet watch fresh arriv latest fanci srushti girlswatch men woman boy wrist watch great discountsrushti art jewelri megnet_led_sport_blackred digit watch men woman boy girl,6.0,Watches,4
15,escort  _blk analog watch men boy price  flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini thank water resist upto atm flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini thank water resist upto atm,escort  _blk analog watch men boy,escort  _blk analog watch men boy price  flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini thank water resist upto atm flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini thank water resist upto atmescort  _blk analog watch men boy,6.0,Watches,4
16,jack klein blackl digit watch boy jack klein blackl digit watch boy blackl  india great discount,jack klein blackl digit watch boy,jack klein blackl digit watch boy jack klein blackl digit watch boy blackl  india great discountjack klein blackl digit watch boy,6.0,Watches,4
17, silicon ion digit watch boy girl woman  silicon ion digit watch boy girl woman   india great discount,north moon  silicon ion digit watch boy girl woman, silicon ion digit watch boy girl woman  silicon ion digit watch boy girl woman   india great discountnorth moon  silicon ion digit watch boy girl woman,6.0,Watches,4
18,franck bella fbc analog watch boy men franck bella fbc analog watch boy men fbc  india great discount,franck bella fbc analog watch boy men,franck bella fbc analog watch boy men franck bella fbc analog watch boy men fbc  india great discountfranck bella fbc analog watch boy men,6.0,Watches,4
19,rida appl shape digit watch boy rida appl shape digit watch boy  india great discount,rida apl_led_black appl shape digit watch boy,rida appl shape digit watch boy rida appl shape digit watch boy  india great discountrida apl_led_black appl shape digit watch boy,6.0,Watches,4
20,skmei ad dark orang sport analog digit watch men boy skmei ad dark orang sport analog digit watch men boy ad dark orang  india digit chronograph alarm watch light function date month display great discount,skmei ad dark orang sport analog digit watch men boy,skmei ad dark orang sport analog digit watch men boy skmei ad dark orang sport analog digit watch men boy ad dark orang  india digit chronograph alarm watch light function date month display great discountskmei ad dark orang sport analog digit watch men boy,6.0,Watches,4
21,ethnic analog watch boy ethnic analog watch boy ethnic  india great discount,ethnic analog watch boy,ethnic analog watch boy ethnic analog watch boy ethnic  india great discountethnic analog watch boy,6.0,Watches,4
22,franck bella fba analog watch boy men franck bella fba analog watch boy men fba  india great discount,franck bella fba analog watch boy men,franck bella fba analog watch boy men franck bella fba analog watch boy men fba  india great discountfranck bella fba analog watch boy men,6.0,Watches,4
23,skmei dg red sport digit watch men boy skmei dg red sport digit watch men boy dg red  india digit chronograph alarm watch light function date month display great discount,skmei dg red sport digit watch men boy,skmei dg red sport digit watch men boy skmei dg red sport digit watch men boy dg red  india digit chronograph alarm watch light function date month display great discountskmei dg red sport digit watch men boy,6.0,Watches,4
24,pl analog watch men boy pl analog watch men boy pl  india stainless steel hybrid case construct sportier rug look increas shock resist high precis quartz analogu movement great discount,pl analog watch men boy,pl analog watch men boy pl analog watch men boy pl  india stainless steel hybrid case construct sportier rug look increas shock resist high precis quartz analogu movement great discountpl analog watch men boy,6.0,Watches,4
25,alfajr wq qibla compass digit watch men boy girl alfajr wq qibla compass digit watch men boy girl wq  india qibla compass light azan time calcul great discount,alfajr wq qibla compass digit watch men boy girl,alfajr wq qibla compass digit watch men boy girl alfajr wq qibla compass digit watch men boy girl wq  india qibla compass light azan time calcul great discountalfajr wq qibla compass digit watch men boy girl,6.0,Watches,4
26,disney  analog watch boy girl disney  analog watch boy girl   india great discount,disney  analog watch boy girl,disney  analog watch boy girl disney  analog watch boy girl   india great discountdisney  analog watch boy girl,6.0,Watches,4
27,disney dw digit watch boy disney dw digit watch boy dw  india great discount,disney dw digit watch boy,disney dw digit watch boy disney dw digit watch boy dw  india great discountdisney dw digit watch boy,6.0,Watches,4
28,vizion  purpl sport seri digit watch boy girl price  brand vizion sport seri watch kid year manufactur warranti digit display automat movement metal case solid bodi dial shape round dial dimens mm strap materi silicon strap width mm water resist night display cold backlight daili alarm hour minut second date week display hour format attract brand packag tuff plastic box note case non receipt warranti card plea intim within hour disclaim product color may vari due photograph light sourc monitor set imag enlarg better view brand vizion sport seri watch kid year manufactur warranti digit display automat movement metal case solid bodi dial shape round dial dimens mm strap materi silicon strap width mm water resist night display cold backlight daili alarm hour minut second date week display hour format attract brand packag tuff plastic box note case non receipt warranti card plea intim within hour disclaim product color may vari due photograph light sourc monitor set imag enlarg better view,vizion  purpl sport seri digit watch boy girl,vizion  purpl sport seri digit watch boy girl price  brand vizion sport seri watch kid year manufactur warranti digit display automat movement metal case solid bodi dial shape round dial dimens mm strap materi silicon strap width mm water resist night display cold backlight daili alarm hour minut second date week display hour format attract brand packag tuff plastic box note case non receipt warranti card plea intim within hour disclaim product color may vari due photograph light sourc monitor set imag enlarg better view brand vizion sport seri watch kid year manufactur warranti digit display automat movement metal case solid bodi dial shape round dial dimens mm strap materi silicon strap width mm water resist night display cold backlight daili alarm hour minut second date week display hour format attract brand packag tuff plastic box note case non receipt warranti card plea intim within hour disclaim product color may vari due photograph light sourc monitor set imag enlarg better viewvizion  purpl sport seri digit watch boy girl,6.0,Watches,5
29,elantra analog watch boy men elantra analog watch boy men  india great discount,elantra analog watch boy men,elantra analog watch boy men elantra analog watch boy men  india great discountelantra analog watch boy men,6.0,Watches,4
30,marvel dw digit watch boy girl marvel dw digit watch boy girl dw  india buckl clasp multi color strap contemporari dial great discount,marvel dw digit watch boy girl,marvel dw digit watch boy girl marvel dw digit watch boy girl dw  india buckl clasp multi color strap contemporari dial great discountmarvel dw digit watch boy girl,6.0,Watches,4
31,lenco bdblue tango analog watch men boy lenco bdblue tango analog watch men boy bdblue  india sport watch casual watch big size dial colour strap great discount,lenco bdblue tango analog watch men boy,lenco bdblue tango analog watch men boy lenco bdblue tango analog watch men boy bdblue  india sport watch casual watch big size dial colour strap great discountlenco bdblue tango analog watch men boy,6.0,Watches,4
32,signer gm_wht analog watch men boy signer gm_wht analog watch men boy gm_wht  india great discount,signer gm_wht analog watch men boy,signer gm_wht analog watch men boy signer gm_wht analog watch men boy gm_wht  india great discountsigner gm_wht analog watch men boy,6.0,Watches,4
33,key featur santosh royal fashion cotton embroid diwan set color multicolor content diwan sheet length cushion cover length santosh royal fashion cotton embroid diwan set price  add oodl style home excit rang design furnitur furnish decor item kitchenwar best qualiti best price specif santosh royal fashion cotton embroid diwan set general brand santosh royal fashion materi cotton pattern embroid style code dsnsan color multicolor dimens bolster cover length inch cushion cover width inch diwan sheet length inch  cushion cover length inch diwan sheet width inch  box number content sale packag pack sale packag diwan sheet cushion cover bolster cover addit featur fabric care machin washabl soak,santosh royal fashion cotton embroid diwan set,key featur santosh royal fashion cotton embroid diwan set color multicolor content diwan sheet length cushion cover length santosh royal fashion cotton embroid diwan set price  add oodl style home excit rang design furnitur furnish decor item kitchenwar best qualiti best price specif santosh royal fashion cotton embroid diwan set general brand santosh royal fashion materi cotton pattern embroid style code dsnsan color multicolor dimens bolster cover length inch cushion cover width inch diwan sheet length inch  cushion cover length inch diwan sheet width inch  box number content sale packag pack sale packag diwan sheet cushion cover bolster cover addit featur fabric care machin washabl soaksantosh royal fashion cotton embroid diwan set,4.0,Home Furnishing,3
34,key featur hous queen cotton duvet cover materi  cotton outer inner polyfil thrade  dimens duvet cover x cm doubl duvet cover specif hous queen cotton duvet cover grey general brand hous closur button design code p materi cotton pattern print thread count  style code dco smart stripe black grey size queen color grey dimens length  inch  width inch  box number content sale packag pack fabric care machin washabl soak addit featur revers,hous queen cotton duvet cover,key featur hous queen cotton duvet cover materi  cotton outer inner polyfil thrade  dimens duvet cover x cm doubl duvet cover specif hous queen cotton duvet cover grey general brand hous closur button design code p materi cotton pattern print thread count  style code dco smart stripe black grey size queen color grey dimens length  inch  width inch  box number content sale packag pack fabric care machin washabl soak addit featur revershous queen cotton duvet cover,4.0,Home Furnishing,3
35,riva carpet cotton bath mat classic loop shag bathmat_ri  ,riva carpet cotton bath mat classic loop shag bathmat_ri ,riva carpet cotton bath mat classic loop shag bathmat_ri  riva carpet cotton bath mat classic loop shag bathmat_ri ,4.0,Home Furnishing,2
36,myesquir ceram burner pot lemongrass liquid air freshen price  illumin everi corner live room style home fragranc electr burner combo fragranc brought myesquir uniqu use valu money product home decor fragranc uniqu combo contain aroma burner accessori readi use put small amount tea spoon aroma oil bowl surfac light tea light minut oil heat fragranc spread room set enjoy captiv aroma keep away child surfac becom hot illumin everi corner live room style home fragranc electr burner combo fragranc brought myesquir uniqu use valu money product home decor fragranc uniqu combo contain aroma burner accessori readi use put small amount tea spoon aroma oil bowl surfac light tea light minut oil heat fragranc spread room set enjoy captiv aroma keep away child surfac becom hot,myesquir ceram burner pot lemongrass liquid air freshen,myesquir ceram burner pot lemongrass liquid air freshen price  illumin everi corner live room style home fragranc electr burner combo fragranc brought myesquir uniqu use valu money product home decor fragranc uniqu combo contain aroma burner accessori readi use put small amount tea spoon aroma oil bowl surfac light tea light minut oil heat fragranc spread room set enjoy captiv aroma keep away child surfac becom hot illumin everi corner live room style home fragranc electr burner combo fragranc brought myesquir uniqu use valu money product home decor fragranc uniqu combo contain aroma burner accessori readi use put small amount tea spoon aroma oil bowl surfac light tea light minut oil heat fragranc spread room set enjoy captiv aroma keep away child surfac becom hotmyesquir ceram burner pot lemongrass liquid air freshen,3.0,Home Decor & Festive Needs,0
37,key featur dungri india craft ducjug ducgl jug glass set jug height inch dia inch depth inch width inch capac  weight  gram dungri india craft ducjug ducgl jug glass set copper price  copper utensil serv copper ware help prevent spread diseas mani test show bacteria copper alloy surfac greater copper content elimin within hour exposur accord research southampton univers mrsa microb remain aliv stainless steel surfac three day wherea microb copper surfac elimin within minut copper serv ware prefer durabl excel characterist ageless use copper bear testimoni myriad virtu everlast appeal therapeut valu hand age fact water store copper ware elixir life purifi help regul digest cardiac order basi good health practic ayurveda rishit old vedic time care tip clean copperwar hand avoid dishwash deterg caus oxid lead permanat damag use solut equal quantiti vinegar lemon juic salt dilut water time use regular avoid scratchi cleaner like steel wool simpl soft clean liquid soap base hot water soft wash cloth best use specif dungri india craft ducjug ducgl jug glass set copper general brand dungri india craft number glass model number ducjug ducgl type jug glass set glass shape tumbler materi copper capac per glass  jug capac color gold dimens jug height  glass diamet jug depth  dimens glass dia height capac  weight gram box jug glass set addit featur microwav safe care instruct better wash result wash pitambari clean power,dungri india craft ducjug ducgl jug glass set,key featur dungri india craft ducjug ducgl jug glass set jug height inch dia inch depth inch width inch capac  weight  gram dungri india craft ducjug ducgl jug glass set copper price  copper utensil serv copper ware help prevent spread diseas mani test show bacteria copper alloy surfac greater copper content elimin within hour exposur accord research southampton univers mrsa microb remain aliv stainless steel surfac three day wherea microb copper surfac elimin within minut copper serv ware prefer durabl excel characterist ageless use copper bear testimoni myriad virtu everlast appeal therapeut valu hand age fact water store copper ware elixir life purifi help regul digest cardiac order basi good health practic ayurveda rishit old vedic time care tip clean copperwar hand avoid dishwash deterg caus oxid lead permanat damag use solut equal quantiti vinegar lemon juic salt dilut water time use regular avoid scratchi cleaner like steel wool simpl soft clean liquid soap base hot water soft wash cloth best use specif dungri india craft ducjug ducgl jug glass set copper general brand dungri india craft number glass model number ducjug ducgl type jug glass set glass shape tumbler materi copper capac per glass  jug capac color gold dimens jug height  glass diamet jug depth  dimens glass dia height capac  weight gram box jug glass set addit featur microwav safe care instruct better wash result wash pitambari clean powerdungri india craft ducjug ducgl jug glass set,5.0,Kitchen & Dining,3
38,key featur bft led pack bft led white price  introduc new technolog led light led filament suit chandeli tabl lamp light fixtur general spread light  degre specif bft led white general brand bft model number bftcw bodi design featur materi glass base b light featur light color white type led lumen  power featur power consumpt box sale packag pack,bft led bulb,key featur bft led pack bft led white price  introduc new technolog led light led filament suit chandeli tabl lamp light fixtur general spread light  degre specif bft led white general brand bft model number bftcw bodi design featur materi glass base b light featur light color white type led lumen  power featur power consumpt box sale packag packbft led bulb,5.0,Kitchen & Dining,5
39,key featur jmd print cushion cover print xcm size made cotton specif jmd print cushion cover pack multicolor general brand jmd suitabl cushion design code c type squar materi cotton style code c pattern print color multicolor dimens height inch inch addit featur revers box number content sale packag pack sale packag cushion pillow cover,jmd print cushion cover,key featur jmd print cushion cover print xcm size made cotton specif jmd print cushion cover pack multicolor general brand jmd suitabl cushion design code c type squar materi cotton style code c pattern print color multicolor dimens height inch inch addit featur revers box number content sale packag pack sale packag cushion pillow coverjmd print cushion cover,4.0,Home Furnishing,3
40,key featur mom kid babi girl print green top pyjama set fabric cotton brand color green mom kid babi girl print green top pyjama set price  girl pyjama set specif mom kid babi girl print green top pyjama set general detail pattern print ideal babi girl night suit detail fabric cotton type top pyjama set neck round neck box top pyjama set,mom kid babi girl print green top pyjama set,key featur mom kid babi girl print green top pyjama set fabric cotton brand color green mom kid babi girl print green top pyjama set price  girl pyjama set specif mom kid babi girl print green top pyjama set general detail pattern print ideal babi girl night suit detail fabric cotton type top pyjama set neck round neck box top pyjama setmom kid babi girl print green top pyjama set,0.0,Baby Care,2
41,key featur kripa print cushion cover length specif kripa print cushion cover pack grey general brand kripa suitabl cushion design code type squar materi cotton style code pattern print color grey dimens height inch inch addit featur revers yes box number content sale packag pack,kripa print cushion cover,key featur kripa print cushion cover length specif kripa print cushion cover pack grey general brand kripa suitabl cushion design code type squar materi cotton style code pattern print color grey dimens height inch inch addit featur revers yes box number content sale packag packkripa print cushion cover,4.0,Home Furnishing,3
42,key featur mom kid babi girl print blue grey top pyjama set fabric cotton brand color blue grey mom kid babi girl print blue grey top pyjama set price  girl pyjamaset specif mom kid babi girl print blue grey top pyjama set general detail pattern print ideal babi girl night suit detail number content sale packag pack fabric cotton type top pyjama set neck round box top pyjama set,mom kid babi girl print blue grey top pyjama set,key featur mom kid babi girl print blue grey top pyjama set fabric cotton brand color blue grey mom kid babi girl print blue grey top pyjama set price  girl pyjamaset specif mom kid babi girl print blue grey top pyjama set general detail pattern print ideal babi girl night suit detail number content sale packag pack fabric cotton type top pyjama set neck round box top pyjama setmom kid babi girl print blue grey top pyjama set,0.0,Baby Care,2
43,key featur burt bee hair repair shea grapefruit deep condition ideal boy girl appli deep condit hair condit damag hair hair type dri hair specif burt bee hair repair shea grapefruit deep condition  condition trait hair condit damag hair hair type dri hair appli deep condit ideal boy girl general trait brand burt bee quantiti  model name hair repair shea grapefruit deep condition box condition,burt bee hair repair shea grapefruit deep condition,key featur burt bee hair repair shea grapefruit deep condition ideal boy girl appli deep condit hair condit damag hair hair type dri hair specif burt bee hair repair shea grapefruit deep condition  condition trait hair condit damag hair hair type dri hair appli deep condit ideal boy girl general trait brand burt bee quantiti  model name hair repair shea grapefruit deep condition box conditionburt bee hair repair shea grapefruit deep condition,1.0,Beauty and Personal Care,3
44,key featur akup love music ceram mug pack mug akup love music ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup love music ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mug,akup love music ceram mug,key featur akup love music ceram mug pack mug akup love music ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup love music ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mugakup love music ceram mug,5.0,Kitchen & Dining,1
45,key featur akup love mom ceram mug pack mug akup love mom ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup love mom ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mug,akup love mom ceram mug,key featur akup love mom ceram mug pack mug akup love mom ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup love mom ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mugakup love mom ceram mug,5.0,Kitchen & Dining,1
46,key featur akup keep calm ceram mug pack mug akup keep calm ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup keep calm ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mug,akup keep calm ceram mug,key featur akup keep calm ceram mug pack mug akup keep calm ceram mug  price  akup ceram coffe mug give best qualiti print mug gift love one good qualiti pack coffe mug made ceram clay volum capac ml make moment unforgett forev specif product dimens mug height cm diamet cm item type coffe mug color multi color materi clay finish glossi specialti style wash care remov dirt use soft fabric clean wipe moist cloth disclaim fine design pattern color tone product may vari shown imag would compromis qualiti brand akup design specif akup keep calm ceram mug  general type mug mug capac  materi ceram freezer safe yes microwav safe dimens diamet weight  height depth box sale packag mugakup keep calm ceram mug,5.0,Kitchen & Dining,1
47,key featur link dap qrs app io android specif link dap white speed wireless speed  mbps dsl modem speed  mbps general brand link box extend plug model dap type rang extend repeat color white cover damag summari year servic type damag cover damag repair dimens weight connect number antenna number usb port antenna intern support protocol standard ieee ieee  n oper condit oper humid oper non condens storag non condens temperatur oper  storag  degre addit featur certif fcc,link dap,key featur link dap qrs app io android specif link dap white speed wireless speed  mbps dsl modem speed  mbps general brand link box extend plug model dap type rang extend repeat color white cover damag summari year servic type damag cover damag repair dimens weight connect number antenna number usb port antenna intern support protocol standard ieee ieee  n oper condit oper humid oper non condens storag non condens temperatur oper  storag  degre addit featur certif fcclink dap,2.0,Computers,5
